address,price,zipcode
270 Madison Avenue,NA,10016
41 E 11th St,172.8,10003
17 State St,NA,10004
145 E 57th St,NA,10022
14 Wall St,NA,10005
275 Seventh Avenue,NA,10011
One World Trade Center,NA,10007
54 Thompson St,NA,10012
590 Madison Avenue,NA,10022
1185 Avenue of the Americas,NA,10036
1155 Avenue of the Americas,NA,10036
485 Lexington Avenue,NA,10017
114 W 47th St,NA,10036
71 W 47th St,48,10036
133 E 58th St,75,10022
30 E 60th St,70,10022
385 Fifth Avenue,55,10016
47 W 27th St,NA,10001
1156 Avenue of the Americas,NA,10036
4 Times Sq,NA,10036
110 W 40th St,75,10018
150 Broadway,NA,10038
45 W 45th St,NA,10036
45 W 45th St,NA,10036
225 E 64th St,NA,10065
50 West St,95,10006
777 Third Avenue,63,10017
695 Avenue Of The Americas,NA,10010
1441 Broadway,96,10018
1115 Broadway,NA,10010
90 Broad St,NA,10004
28 W 44th St,NA,10036
10 E 38th St,49,10016
1071 avenue of the americas,68,10036
115 E 23rd St,58,10010
45 W 27th St,NA,10001
1345 Avenue of the Americas,NA,10105
30 E 60th St,400,10022
37 W 47th St,49,10036
120 E 56th St,65,10022
199 Water St,62,10038
78 Wooster St,68.4,10012
90 Broad St,NA,10004
241 W 37th St,48,10018
125 Park Avenue,NA,10017
650 Fifth Avenue,90,10019
233 Broadway,NA,10279
410 Park Avenue,65,10022
3 Columbus Cir,NA,10019
30 E 60th St,NA,10022
3 Columbus Cir,NA,10019
1115 Broadway,66,10010
461 Fifth Avenue,NA,10017
120 Broadway,NA,10271
120 Broadway,NA,10271
250 Hudson St,120,10013
255 Greenwich St,60,10007
315 Hudson St,175,10013
125 Orchard St,144,10002
295 Madison Avenue,NA,10017
75 Broad St,NA,10004
680 Madison Avenue,NA,10065
521 Fifth Avenue,65,10175
810 Seventh Avenue,70,10019
100 Park Avenue,NA,10017
155 W 23rd St,75,10011
155 W 23rd St,NA,10011
1214 Broadway,455.69,10001
220 E 42nd St,NA,10017
30 Broad St,144,10004
712 Broadway,185,10003
55 W 46th St,NA,10036
104 Greene St,NA,10012
19 W 44th St,NA,10036
800 Third Avenue,NA,10022
685 Washington St,27.55,10014
264 W 40th St,NA,10018
575 Fifth Avenue,95,10017
192 E 2nd St,68.57,10009
437 Madison Avenue,NA,10022
777 Third Avenue,71,10017
30 E 60th St,80,10022
75 Broad St,NA,10004
632 Broadway,NA,10012
860 Washington St,NA,10014
120 Broadway,NA,10271
120 Broadway,NA,10271
1350 Sixth Avenue,NA,10019
24 State Street,56,10004
675 Third Avenue,NA,10017
420 Lexington Avenue,NA,10170
55 Broad St,52,10004
315 Madison Avenue,65,10017
485 Madison Avenue,300,10022
90 Broad St,NA,10004
415 Madison Avenue,55,10017
733 Third Avenue,NA,10017
286 Madison Avenue,NA,10017
501 Fifth Avenue,65,10017
560 Lexington Avenue,75,10022
1 Whitehall St,55,10004
215 Park Avenue S,NA,10003
274 Madison Avenue,58,10016
110 E 42nd St,65,10017
880 Third Avenue,65,10022
25 W 45th St,NA,10036
305 E 47th St,NA,10017
151 E 80th St,205.63,10075
1120 Avenue of the Americas,NA,10036
54 W 47th St,65,10036
587 Fifth Avenue,NA,10017
102 Bayard St,85,10013
1380 First Avenue,127.5,10021
137 Hudson St,79.8,10013
342 W 37th St,51.69,10018
647 Broadway,160,10012
168 Canal St,NA,10013
134 Nagle Avenue,73,10040
36 W 44th St,62,10036
38 W 21st St,NA,10010
37 Union Sq W,383.72,10003
325 W 38th St,49.71,10018
555 W 25th St,80.41,10001
22 W 32nd St,48,10001
420 Broadway,NA,10013
388 W Broadway,NA,10012
920 Third Avenue,225,10022
121 Varick St,50,10013
1361 Amsterdam Avenue,45,10027
75 Murray St,NA,10007
252 W 38th St,47.31,10018
16 Beaver St,38.4,10004
225 E 31st St,116.1,10016
309 E 94th St,65,10128
485 Broadway,500,10013
22 E 65th St,100.8,10065
115 E 57th St,206,10022
1515 Broadway,NA,10036
1133 Avenue of the Americas,NA,10036
41 Madison Avenue,82,10010
535 Fifth Avenue,67,10017
641 Lexington Avenue,65,10022
530 Seventh Avenue,NA,10018
369 Lexington Avenue,59,10017
315 Madison Avenue,112,10017
